Day,Pm,BW29,Oo,Gm,BW37,BW58,Site
8/26/2015,0,0,0,0,0,0,KGI
8/27/2015,0,0,0,0,0,0,KGI
8/28/2015,0,0,0,0,0,0,KGI
8/29/2015,0,0,0,0,0,0,KGI
8/30/2015,0,0,0,0,0,0,KGI
8/31/2015,0,0,0,0,0,0,KGI
9/1/2015,0,0,0,0,0,0,KGI
9/2/2015,0,0,0,0,0,0,KGI
9/3/2015,0,0,0,0,0,0,KGI
9/4/2015,0,0,0,0,0,0,KGI
9/5/2015,0,0,0,0,0,0,KGI
9/6/2015,0,0,0,0,0,0,KGI
9/7/2015,0,0,0,0,0,0,KGI
9/8/2015,0,0,0,0,0,0,KGI
9/9/2015,0,0,0,0,0,0,KGI
9/10/2015,0,0,0,0,0,0,KGI
9/11/2015,0,0,0,0,0,0,KGI
9/12/2015,0,0,0,0,0,0,KGI
9/13/2015,0,0,0,0,0,0,KGI
9/14/2015,0,0,0,0,0,0,KGI
9/15/2015,0,0,0,0,0,0,KGI
9/16/2015,0,0,0,0,0,0,KGI
9/17/2015,0,0,0,0,0,0,KGI
9/18/2015,0,0,0,0,0,0,KGI
9/19/2015,0,0,0,0,0,0,KGI
9/20/2015,0,0,0,0,0,0,KGI
9/21/2015,0,0,0,0,0,0,KGI
9/22/2015,0,0,0,0,0,0,KGI
9/23/2015,0,0,0,0,0,0,KGI
9/24/2015,0,0,0,0,0,0,KGI
9/25/2015,0,0,0,0,0,0,KGI
9/26/2015,0,0,0,0,0,0,KGI
9/27/2015,0,0,0,0,0,0,KGI
9/28/2015,0,0,0,0,0,0,KGI
9/29/2015,0,0,0,0,0,0,KGI
9/30/2015,0,0,0,0,0,0,KGI
10/1/2015,0,0,0,0,0,0,KGI
10/2/2015,0,0,0,0,0,0,KGI
10/3/2015,0,0,0,0,0,0,KGI
10/4/2015,0,0,0,0,0,0,KGI
10/5/2015,0,0,1,0,0,0,KGI
10/6/2015,0,0,0,0,0,0,KGI
10/7/2015,0,0,0,0,0,0,KGI
10/8/2015,0,0,0,0,0,0,KGI
10/9/2015,0,0,0,0,0,0,KGI
10/10/2015,0,0,0,0,0,0,KGI
10/11/2015,0,0,0,0,0,0,KGI
10/12/2015,0,0,0,0,0,0,KGI
10/13/2015,0,0,0,0,0,0,KGI
10/14/2015,0,0,0,0,0,0,KGI
10/15/2015,0,0,0,0,0,0,KGI
10/16/2015,0,0,0,0,0,0,KGI
10/17/2015,0,0,0,0,0,0,KGI
10/18/2015,0,0,0,0,0,0,KGI
10/19/2015,0,0,0,0,0,0,KGI
10/20/2015,0,0,0,0,0,0,KGI
10/21/2015,0,0,0,0,0,0,KGI
10/22/2015,0,0,0,0,0,0,KGI
10/23/2015,0,0,0,0,0,0,KGI
10/24/2015,0,0,0,0,0,0,KGI
10/25/2015,0,0,0,0,0,0,KGI
10/26/2015,0,0,0,0,0,0,KGI
10/27/2015,0,0,0,0,0,0,KGI
10/28/2015,0,0,0,0,0,0,KGI
10/29/2015,0,0,0,0,0,0,KGI
10/30/2015,0,0,0,0,0,0,KGI
10/31/2015,0,0,0,0,0,0,KGI
11/1/2015,0,0,0,0,0,0,KGI
11/2/2015,0,0,0,0,0,0,KGI
11/3/2015,0,0,0,0,0,0,KGI
11/4/2015,0,0,0,0,0,0,KGI
11/5/2015,0,0,0,0,1,0,KGI
11/6/2015,0,0,0,0,1,0,KGI
11/7/2015,0,0,0,0,0,0,KGI
11/8/2015,0,0,0,0,0,0,KGI
11/9/2015,0,0,0,0,1,0,KGI
11/10/2015,0,0,0,0,0,0,KGI
11/11/2015,0,0,0,0,0,0,KGI
11/12/2015,0,0,0,0,0,0,KGI
11/13/2015,0,0,0,0,1,0,KGI
11/14/2015,0,0,0,0,0,0,KGI
11/15/2015,0,0,0,0,1,0,KGI
11/16/2015,0,0,0,0,1,0,KGI
11/17/2015,0,0,0,0,1,0,KGI
11/18/2015,0,0,0,0,1,0,KGI
11/19/2015,0,0,0,0,1,0,KGI
11/20/2015,0,0,0,0,1,0,KGI
