Input file,Event Number,Species Code,Call,Start time,End time,Comments
Antarc_EIE_01,jst_bw431,BW29,Clicks,11/21/2016 8:51:14,11/21/2016 9:01:14,
Antarc_EIE_01,jst_bw432,BW29,Clicks,11/21/2016 9:28:44,11/21/2016 9:29:59,
Antarc_EIE_01,jst_bw433,BW29,Clicks,11/22/2016 9:39:59,11/22/2016 9:46:14,
Antarc_EIE_01,jst_bw434,BW29,Clicks,11/23/2016 20:02:29,11/23/2016 20:03:44,
Antarc_EIE_01,jst_bw435,BW29,Clicks,11/23/2016 20:22:29,11/23/2016 20:23:44,
Antarc_EIE_01,jst_bw436,BW29,Clicks,11/23/2016 22:12:29,11/23/2016 22:13:44,
Antarc_EIE_01,jst_bw437,BW29,Clicks,11/23/2016 22:14:59,11/23/2016 22:17:29,
Antarc_EIE_01,Abartlett,Oo,Clicks,11/25/2016 2:05:44,11/25/2016 2:28:01,
Antarc_EIE_01,jst_bw438,BW29,Clicks,11/25/2016 16:03:44,11/25/2016 16:04:59,
Antarc_EIE_01,jst_bw439,BW29,Clicks,11/25/2016 16:07:29,11/25/2016 16:08:44,
Antarc_EIE_01,jst_bw440,BW29,Clicks,11/25/2016 16:13:44,11/25/2016 16:14:59,
Antarc_EIE_01,jst_bw441,BW29,Clicks,11/25/2016 16:17:29,11/25/2016 16:18:44,
Antarc_EIE_01,jst_bw442,BW29,Clicks,11/25/2016 16:19:59,11/25/2016 16:21:14,
Antarc_EIE_01,jst_bw443,BW29,Clicks,11/25/2016 16:29:59,11/25/2016 16:34:59,
Antarc_EIE_01,jst_bw444,BW29,Clicks,11/25/2016 23:09:59,11/25/2016 23:11:14,
Antarc_EIE_01,jst_bw445,BW29,Clicks,11/25/2016 23:16:14,11/25/2016 23:17:29,
Antarc_EIE_01,jst_bw446,BW29,Clicks,11/26/2016 1:46:14,11/26/2016 1:52:29,
Antarc_EIE_01,jst_bw447,BW29,Clicks,11/26/2016 1:56:14,11/26/2016 1:57:29,
Antarc_EIE_01,jst_bw448,BW29,Clicks,11/26/2016 1:58:44,11/26/2016 1:59:59,
Antarc_EIE_01,jst_bw449,BW29,Clicks,11/26/2016 2:02:29,11/26/2016 2:04:59,
Antarc_EIE_01,jst_bw450,BW29,Clicks,11/26/2016 14:18:44,11/26/2016 14:29:59,
Antarc_EIE_01,jst_bw451,BW29,Clicks,11/26/2016 14:32:29,11/26/2016 14:36:14,
Antarc_EIE_01,jst_bw452,BW29,Clicks,11/26/2016 15:59:59,11/26/2016 16:01:14,
Antarc_EIE_01,jst_bw453,BW29,Clicks,11/26/2016 16:08:44,11/26/2016 16:09:59,
Antarc_EIE_01,jst_bw454,BW29,Clicks,11/27/2016 17:47:29,11/27/2016 17:48:44,
Antarc_EIE_01,jst_bw455,BW29,Clicks,11/27/2016 17:53:44,11/27/2016 17:56:14,
Antarc_EIE_01,jst_bw456,BW29,Clicks,11/27/2016 17:57:29,11/27/2016 18:01:14,
Antarc_EIE_01,jst_bw457,BW29,Clicks,11/27/2016 22:49:59,11/27/2016 22:51:14,
Antarc_EIE_01,jst_bw458,BW29,Clicks,11/27/2016 22:56:14,11/27/2016 22:57:29,
Antarc_EIE_01,jst_bw459,BW29,Clicks,11/27/2016 23:01:14,11/27/2016 23:04:59,
Antarc_EIE_01,jst_bw460,BW29,Clicks,11/27/2016 23:06:14,11/27/2016 23:12:29,
Antarc_EIE_01,jst_bw461,BW29,Clicks,11/28/2016 0:21:14,11/28/2016 0:22:29,
Antarc_EIE_01,jst_bw462,BW29,Clicks,11/28/2016 0:24:59,11/28/2016 0:26:14,
Antarc_EIE_01,jst_bw463,BW29,Clicks,11/28/2016 4:01:14,11/28/2016 4:12:29,
