"Day","Pm","BW29","Oo","Gm","BW37","BW58","Site"
2015-05-30,0,0,0,0,0,0,"KGI"
2015-05-31,0,0,0,0,0,0,"KGI"
2015-06-01,0,0,0,15,0,0,"KGI"
2015-06-02,0,0,0,0,5,0,"KGI"
2015-06-03,0,0,0,30,0,0,"KGI"
2015-06-04,0,0,0,0,0,0,"KGI"
2015-06-05,0,0,0,0,0,0,"KGI"
2015-06-06,0,0,0,35,0,0,"KGI"
2015-06-07,0,0,0,0,0,0,"KGI"
2015-06-08,0,5,0,0,0,0,"KGI"
2015-06-09,0,0,0,5,0,0,"KGI"
2015-06-10,0,0,0,10,10,0,"KGI"
2015-06-11,0,0,0,10,0,0,"KGI"
2015-06-12,0,5,0,15,0,0,"KGI"
2015-06-13,0,5,0,40,0,0,"KGI"
2015-06-14,0,0,0,20,0,0,"KGI"
2015-06-15,0,0,0,45,0,0,"KGI"
2015-06-16,0,0,0,0,0,0,"KGI"
2015-06-17,0,0,0,0,0,0,"KGI"
2015-06-18,0,0,0,0,0,0,"KGI"
2015-06-19,0,0,0,25,0,0,"KGI"
2015-06-20,0,0,0,0,0,0,"KGI"
